"","Product_Name","Price","Brand","Date"
"97","ZOTAC GeForce GTX 1070 AMP! Edition, ZT-P10700C-10P, 8GB GDDR5 IceStorm Cooling VR Ready Gaming Graphics Card","409.99","Nvidia GeForce",2017-04-11
"98","MSI Gaming GeForce GTX 1080 8GB GDDR5X SLI DirectX 12 VR Ready Graphics Card (GTX 1080 SEA HAWK X)","625.37","Nvidia GeForce",2017-04-11
"99","EVGA GeForce 6200 512 MB DDR2 AGP 8X VGA/DVI-I/S-Video Graphics Card, 512-A8-N403-LR","39.99","Nvidia GeForce",2017-04-11
"100","ASUS Graphics Cards GT730-2GD3-CSM","62.99","Nvidia GeForce",2017-04-11
"101","Inno3D Nvidia Geforce GT 730 LP 4GB DDR3 HDMI DVI VGA 128 Bit Video Graphics Card, PCI Express x16 HD 1080P Low Profile","94.75","Nvidia GeForce",2017-04-11
"102","PNY GeForce 8400GS","45.99","Nvidia GeForce",2017-04-11
"103","ASUS GeForce GT 730 2GB Graphics Cards GT730-2GD3","64.99","Nvidia GeForce",2017-04-11
"104","MSI nVidia GeForce 8400GS 512 MB DDR3 VGA/DVI/HDMI Low Profile PCI-Express Video Card N8400GS-MD512H","37.80","Nvidia GeForce",2017-04-11
"105","Zotac PCI-Express Video / Graphics Cards ZT-90505-10P","749.99","Nvidia GeForce",2017-04-11
"106","NVIDIA Graphics Card - Low Profile N3R90AA","130.99","Nvidia GeForce",2017-04-11
"107","MSI N210-MD1G/D3 GeForce 210 Graphic Card - 589 MHz Core - 1 GB GDDR3 SDRAM - PCI Express 2.0 x16 -","52.88","Nvidia GeForce",2017-04-11
"108","ZOTAC GeForce GT430 1GB DDR3 PCI Express 2.0 DVI/HDMI/Displayport Fanless Graphics Card, ZT-40601-20L","21.69","Nvidia GeForce",2017-04-11
"109","MSI Computer NVIDIA GeForce GT 740 4GB DDR3 VGA/DVI/HDMI PCI-Express Video Card N740-4GD3","87.99","Nvidia GeForce",2017-04-11
"110","Zotac AMP GeForce GTX 480 1536 MB Graphics Card 384-bit (756MHz/3800MHz) ZT-40102-10P","552.43","Nvidia GeForce",2017-04-11
"111","EVGA GeForce GTX760 Dual Superclocked ACX Cooler 2GB 256-Bit GDDR5 Double BIOS Dual-Link DVI-I/DVI-D HDMI SLI Graphics Cards 02G-P4-3765-KR",NA,"Nvidia GeForce",2017-04-11
"112","PNY GeForce 8400GS 512MB DDR2 PCI-Express 2.0 DVI+VGA+HDMI Low Profile Graphics Card VCG84512R3SXPB","37.95","Nvidia GeForce",2017-04-11
"113","EVGA Video Graphics Cards 04G-P4-3973-KR",NA,"Nvidia GeForce",2017-04-11
"114","EVGA GeForce GTX670 4096MB GDDR5 256bit, 2x Dual-Link DVI, HDMI, DP, 4-Way SLI Ready Graphics Card (04G-P4-2671-KR)","489.99","Nvidia GeForce",2017-04-11
"115","Gigabyte GeForce GTX Graphics Cards GV-N950XTREME-2GD",NA,"Nvidia GeForce",2017-04-11
"116","EVGA GeForce GTX 650 SUPERCLOCKED 1024MB GDDR5 DVI mHDMI Graphics Card 01G-P4-2652-KR",NA,"Nvidia GeForce",2017-04-11
"117","Club3D GeForce 210 Passive 1024 MB DDR3 PCI Express 2.0 DVI/HDMI/VGA Graphics Card, CGNX-212L, Black","36.15","Nvidia GeForce",2017-04-11
"118","NVIDIA GEFORCE GTX 1080 Founders Edition","638.94","Nvidia GeForce",2017-04-11
"119","EVGA GeForce GTX 980 Ti 6GB GAMING ACX 2.0+, Whisper Silent Cooling Graphics Card 06G-P4-4991-KR",NA,"Nvidia GeForce",2017-04-11
"120","XFX PVT44AWANG GeForce 6200 256MB GDDR2 AGP 4X/8X Video Card (VGA/DVI/S-Video)","48.12","Nvidia GeForce",2017-04-11
"121","MSI ATI Radeon HD6450 1 GB DDR3 VGA/DVI/HDMI Low Profile PCI-Express Video Card R6450-MD1GD3/LP","36.96","AMD Radeon",2017-04-11
"122","ASUS AMD Radeon R7 250 2 GB 128-Bit DDR5 Graphics Cards (R7250-2GD5)","79.99","AMD Radeon",2017-04-11
"123","VisionTek Radeon 4350 512MB DDR2 (DVI-I, HDMI, VGA) Graphics Card - 900270","29.99","AMD Radeon",2017-04-11
"124","Gigabyte AMD Radeon R7 240 DDR3-2GB DVI-D/HDMI/D-SUB OC Video Graphics Cards GV-R724OC-2GI REV2.0","59.99","AMD Radeon",2017-04-11
"125","XFX PCI-Express Video Card R7-360P-2DF5","89.99","AMD Radeon",2017-04-11
"126","VisionTek Products Radeon 7750 SFF 2GB GDDR5 4M Graphics Card 900798","186.47","AMD Radeon",2017-04-11
"127","VisionTek Radeon 7870 2GB GDDR5 6M (6x MiniDP) Graphics Card - 900548","359.99","AMD Radeon",2017-04-11
"128","XFX PCI-Express Video Card R7-360P-2SF5","103.99","AMD Radeon",2017-04-11
"129","VisionTek Radeon 5570 SFF 1GB DDR3 4M  VHDCI DVI (4x DVI-D) Graphics Card - 900345","159.99","AMD Radeon",2017-04-11
